name,gender,nationality,nationalityID,birth
Florence Conrad,female,United States,Q30,1886
Jane Catherine Shaw Stewart,female,United Kingdom of Great Britain and Ireland,Q174193,1821
Helga Lohninger,female,Austria,Q40,1965
Colette Lahovary,female,Romania,Q218,1885
Koto Ishiwatari,female,Japan,Q17,1874
Kris Krull,female,United States,Q30,1953
Alicia Blackwood,female,United Kingdom of Great Britain and Ireland,Q174193,1818
Brigid Guinness,female,Ireland,Q27,1920
Harriet Acland,female,United Kingdom of Great Britain and Ireland,Q174193,1750
Pamela Vivien Kirkham,female,United Kingdom,Q145,1929
Laura M. Cobb,female,United States,Q30,1892
Jiřina Mihulová,female,Czechoslovakia,Q33946,1977
Jarmila Hašková Sitarová,female,Czechoslovakia,Q33946,1960
Dadasare Abdullahi,female,Nigeria,Q1033,1918
Natsumi Sakai,female,Japan,Q17,1986
Agnes Glaus,female,Switzerland,Q39,1953
Iris Parra Jounou,female,Spain,Q29,1989
Eva Jirků,female,Czechoslovakia,Q33946,1960
Sonia Thomasson,female,Sweden,Q34,1939
Florence Mnumzana,female,South Africa,Q258,1919
Violet Matlou,female,South Africa,Q258,1920
Yvonne Blondel,female,Romania,Q218,1884
Lucie Křáková,female,Czech Republic,Q213,1989
Atanasia Karoli,female,Tanzania,Q924,1966
Celina Arauz de Pirovano,female,Argentina,Q414,1915
Irmela Fries,female,Germany,Q183,1918
Barbara Salisbury,female,United Kingdom,Q145,1956
Kathleen Vinehout,female,United States,Q30,1958
Katrina Zepps,female,Australia,Q408,1918
Malene Olsen,female,Kingdom of Denmark,Q756617,1983
Margaret A. Rykowski,female,United States,Q30,1965
Margaret B. Laird,female,United States,Q30,1871
Margaret Bridgman,female,Canada,Q16,1940
Margaret C. MacDonald,female,Canada,Q16,1873
Margaret Dryburgh,female,United Kingdom of Great Britain and Ireland,Q174193,1890
Anna Fraentzel Celli,female,Germany,Q183,1878
Lisa Hopp,female,United States,Q30,1956
Lisbeth Balslev,female,Kingdom of Denmark,Q756617,1945
Emmi Zeulner,female,Germany,Q183,1987
Lorraine Guay,female,Canada,Q16,1943
Christine Egan,female,United Kingdom,Q145,1946
Vera Ellis-Crowther,female,New Zealand,Q664,1897
Shirley Meacham,female,United States,Q30,1927
Anna Larsen Stevns,female,Kingdom of Denmark,Q756617,1887
Petra Rédová Fajmonová,female,Czech Republic,Q213,1975
Betty Bergen,female,Kingdom of the Netherlands,Q29999,1905
Anna B. Heldman,female,United States,Q30,1873
Lulamae Clemons,female,United States,Q30,1917
Aileen Cleveland Higgins,female,United States,Q30,1882
Laura Moffatt,female,United Kingdom,Q145,1954
Laura Spurr,female,United States,Q30,1945
Laurie Monnes Anderson,female,United States,Q30,1945
Laurie N. Gottlieb,female,Canada,Q16,1946
Lavinia L. Dock,female,United States,Q30,1858
Conny Vandendriessche,female,Belgium,Q31,1964
Sharon Lee Vibbert,female,United States,Q30,1953
Anne Lyon Hansen,female,United Kingdom of Great Britain and Ireland,Q174193,1875
Tanja Segmüller,female,Germany,Q183,1982
Marion Crook,female,Canada,Q16,1941
Lone Langballe,female,Kingdom of Denmark,Q756617,1970
Alyce Hanley,female,United States,Q30,1933
Rena Maude McLean,female,Canada,Q16,1879
Denisa Macková,female,Czech Republic,Q213,1988
Marie Hejtmánková,female,Czechoslovakia,Q33946,1949
Marilynn Malerba,female,Mohegan,Q201024,1953
Neusa Priscotin Mendes,female,Brazil,Q155,1949
Evelyne Bignell,female,Canada,Q16,1897
Johanna Diepeveen-Speekenbrink,female,Kingdom of the Netherlands,Q29999,1936
