name,gender,nationality,nationalityID,birth
Helga Stödter,female,Germany,Q183,1922
Helen Douglas Mankin,female,United States,Q30,1896
Margret Diwell,female,Germany,Q183,1951
Louise Day Hicks,female,United States,Q30,1916
Gabi Huber,female,Switzerland,Q39,1956
Jutta Wagner,female,Germany,Q183,1949
Sara Duterte,female,Philippines,Q928,1978
Gabrielle Kirk McDonald,female,United States,Q30,1942
Gabriele Wurzel,female,Germany,Q183,1948
Pamela Palmater,female,Canada,Q16,1970
Lieselore Curländer,female,Germany,Q183,1956
Gabriele Paukens,female,Germany,Q183,1962
Gabriele Beger,female,Germany,Q183,1952
Hedwig Maier-Reimer,female,Germany,Q183,1905
Erna Roth Oberth,female,Germany,Q183,1922
Hawa Sisay-Sabally,female,The Gambia,Q1005,2000
"Denise Kingsmill, Baroness Kingsmill",female,New Zealand,Q664,1947
Funda Bıçakoğlu,female,Germany,Q183,1965
Victoria Mxenge,female,South Africa,Q258,1942
Mónika Lamperth,female,Hungary,Q28,1957
Mariann Vízkelety,female,Hungary,Q28,1956
Sülmez Çolak,female,Germany,Q183,1975
Emily Büning,female,Germany,Q183,1985
Elsa Kelly,female,Argentina,Q414,1939
Conchita Carpio-Morales,female,Philippines,Q928,1941
Judy Koehler,female,United States,Q30,1941
Aisha N. Braveboy,female,United States,Q30,1974
Ann McLane Kuster,female,United States,Q30,1956
Dominique de La Garanderie,female,France,Q142,1943
Adrienne Arsht,female,United States,Q30,1942
Rita B. Garman,female,United States,Q30,1943
Alamjeet Kaur Chauhan,female,India,Q668,1955
Dominique Jeanmoye,female,Belgium,Q31,1964
Dominique Guns,female,Belgium,Q31,1971
Ruth Wedgwood,female,United States,Q30,1949
Lois Frankel,female,United States,Q30,1948
Desislava Atanasova,female,Bulgaria,Q219,1978
Ana María Polo,female,Cuba,Q241,1959
Mary Ann Shadd,female,United States,Q30,1823
Maritza Pineda,female,Venezuela,Q717,1956
Marisol Alfonzo,female,Venezuela,Q717,1957
Michelle Lujan Grisham,female,United States,Q30,1959
Aisha Jummai,female,Nigeria,Q1033,1959
Adriana Bortolozzi,female,Argentina,Q414,1949
Emily Naphtal,female,Mexico,Q96,1989
Denise Beaudoin,female,Canada,Q16,1949
Laura Scudder,female,United States,Q30,1881
Phyllis Curott,female,United States,Q30,1954
Nunzia De Girolamo,female,Italy,Q38,1975
Céline Hervieux-Payette,female,Canada,Q16,1941
Nancy-Ann DeParle,female,United States,Q30,1956
Jeanne Chauvin,female,France,Q142,1862
Cristina Alberdi,female,Spain,Q29,1946
Adele Cohen,female,United States,Q30,1942
Carmen Ortiz,female,United States,Q30,1956
Marianella García Villas,female,El Salvador,Q792,1948
Beverley Jacobs,female,Canada,Q16,1965
Cynthia Viteri,female,Ecuador,Q736,1965
Adelaide Casely-Hayford,female,Colony of Sierra Leone,Q15240191,1868
Ada Lewis Sawyer,female,United States,Q30,1892
Ada Lois Sipuel Fisher,female,United States,Q30,1924
Ada Kepley,female,United States,Q30,1847
Ada Itúrrez de Cappellini,female,Argentina,Q414,1946
Marina Moran,female,Brazil,Q155,1941
Marina Masoni,female,Switzerland,Q39,1958
Marina Magistrelli,female,Italy,Q38,1954
Marilena Samperi,female,Italy,Q38,1947
Corinne Wood,female,United States,Q30,1954
Corinne Gendron,female,Canada,Q16,1968
Conxita Marsol Riart,female,Spain,Q29,1960
Melissa Hart,female,United States,Q30,1962
Clotilde Nyssens,female,Belgium,Q31,1953
Jeanne Loviton,female,France,Q142,1903
Yolanda Díaz,female,Spain,Q29,1971
Margarita Cedeño,female,Dominican Republic,Q786,1965
Colette Capdevielle,female,France,Q142,1958
Irene Michiels van Kessenich-Hoogendam,female,Kingdom of the Netherlands,Q29999,1940
Louise Bonadio,female,Switzerland,Q39,1985
Yamila Idrissi,female,Belgium,Q31,1968
Chrystal Macmillan,female,United Kingdom of Great Britain and Ireland,Q174193,1882
Christine Defraigne,female,Belgium,Q31,1962
Sian Elias,female,New Zealand,Q664,1949
Bestine Kazadi,female,Democratic Republic of the Congo,Q974,1963
Belva Ann Lockwood,female,United States,Q30,1830
Sarmiza Bilcescu,female,Romania,Q218,1867
Beatriz Corredor,female,Spain,Q29,1968
Nitsana Darshan-Leitner,female,Israel,Q801,1973
Isabel Viudes,female,Argentina,Q414,1944
Marjorie Rendell,female,United States,Q30,1947
Kate Walker,female,United States,Q30,1972
Karen Robson,female,Australia,Q408,1957
Jole Santelli,female,Italy,Q38,1968
Katrine Camilleri,female,Malta,Q233,1970
Judith Castillo,female,Venezuela,Q717,1958
Fidan Dogan,female,Turkey,Q43,1982
Caroline Mécary,female,France,Q142,1963
Carmen Cerdeira,female,Spain,Q29,1958
Carmen Alborch,female,Spain,Q29,1947
Carmela Silva,female,Spain,Q29,1960
Barbara Trachte,female,Belgium,Q31,1981
Inez Milholland,female,United States,Q30,1886
Janine Alexandre-Debray,female,France,Q142,1910
Brooksley Born,female,United States,Q30,1940
Brigitte Pelletier,female,Canada,Q16,1964
Brigitte Barèges,female,France,Q142,1953
Inez Weski,female,Kingdom of the Netherlands,Q29999,1955
Catherine Morissette,female,Canada,Q16,1979
Catherine Boursier,female,France,Q142,1953
Caroline Vigneaux,female,France,Q142,1975
Carina Van Cauter,female,Belgium,Q31,1962
Béatrice Patrie,female,France,Q142,1957
Béatrice Joyaud,female,France,Q142,1970
Vibeke Hein Bæra,female,Norway,Q20,1964
Arantza Quiroga,female,Spain,Q29,1973
Margaret Wilson,female,New Zealand,Q664,1947
Azucena Berrutti,female,Uruguay,Q77,1929
Anne T. Gallagher,female,Australia,Q408,1964
Anne Holton,female,United States,Q30,1958
Anne Kajir,female,Papua New Guinea,Q691,1974
Anne M. Patterson,female,United States,Q30,1959
Anne M. Lofaso,female,United States,Q30,1965
Anne Simonett,female,United States,Q30,1952
Anne Slaughter Andrew,female,United States,Q30,1955
Anne Tompkins,female,United States,Q30,1962
Anne X. Alpern,female,United States,Q30,1903
Annette Quijano,female,United States,Q30,1962
Audrey Ngaere Gale,female,New Zealand,Q664,1909
Augusta Wallace,female,New Zealand,Q664,1929
Anna Brennan,female,Australia,Q408,1879
Annabel Ritchie,female,New Zealand,Q664,1978
Anne-France Goldwater,female,Canada,Q16,1960
Anne-Marie Hutchinson,female,United Kingdom,Q145,1957
Anne Bremner,female,United States,Q30,1958
Anne C. Conway,female,United States,Q30,1950
Anne Elise Thompson,female,United States,Q30,1934
Anne Feeney,female,United States,Q30,1951
Flavia Lattanzi,female,Italy,Q38,1940
Francesca Balzani,female,Italy,Q38,1966
Aulana L. Peters,female,United States,Q30,1941
Abby Rubenfeld,female,United States,Q30,1953
Anne Milgram,female,United States,Q30,1970
Anne P. Mitchell,female,United States,Q30,1958
Audrey B. Collins,female,United States,Q30,1945
Audrey Eu,female,People's Republic of China,Q148,1953
Audrey G. Fleissig,female,United States,Q30,1955
Annette Sykes,female,New Zealand,Q664,1961
Annette Ziegler,female,United States,Q30,1964
Annie Lee Rees,female,New Zealand,Q664,1864
Ayelet Waldman,female,Israel,Q801,1964
Azalina Othman Said,female,Malaysia,Q833,1963
Ava Muhammad,female,United States,Q30,1951
Annabelle Clinton Imber,female,United States,Q30,1950
Annabelle Williams,female,Australia,Q408,1988
